Honorific Title,First Name,Last Name,Title,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
Right Hon.,Justin,Trudeau,Leader of the Liberal Party,Papineau,Quebec,Liberal,2013-04-15 12:00:00 AM,
Hon.,Erin,O'Toole,Leader of the Conservative Party of Canada,Durham,Ontario,Conservative,2020-08-24 1:00:00 AM,
,Yves-François,Blanchet,Leader of the Bloc Québécois,Beloeil—Chambly,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,
,Jagmeet,Singh,Leader of the New Democratic Party,Burnaby South,British Columbia,NDP,2019-02-27 12:00:00 AM,
Hon.,Pablo,Rodriguez,Leader of the Government in the House of Commons,Honoré-Mercier,Quebec,Liberal,2019-11-20 3:00:00 PM,
,Gérard,Deltell,House Leader of the Official Opposition,Louis-Saint-Laurent,Quebec,Conservative,2020-09-02 12:02:00 AM,
,Alain,Therrien,House Leader of the Bloc Québécois,La Prairie,Quebec,Bloc Québécois,2019-10-24 12:00:00 AM,
,Peter,Julian,House Leader of the New Democratic Party,New Westminster—Burnaby,British Columbia,NDP,2019-03-14 12:00:00 AM,
Hon.,Mark,Holland,Chief Government Whip,Ajax,Ontario,Liberal,2018-08-31 12:00:00 AM,
,Blake,Richards,Chief Opposition Whip,Banff—Airdrie,Alberta,Conservative,2020-09-02 12:02:00 AM,
,Claude,DeBellefeuille,Whip of the Bloc Québécois,Salaberry—Suroît,Quebec,Bloc Québécois,2019-10-24 12:00:00 AM,
,Rachel,Blaney,Whip of the New Democratic Party,North Island—Powell River,British Columbia,NDP,2019-11-26 12:00:00 AM,
,Francis,Scarpaleggia,Caucus Chair,Lac-Saint-Louis,Quebec,Liberal,2019-10-21 12:00:00 AM,
,Tom,Kmiec,Caucus Chair,Calgary Shepard,Alberta,Conservative,2019-11-06 12:00:00 AM,
,Louis,Plamondon,Caucus Chair,Bécancour—Nicolet—Saurel,Quebec,Bloc Québécois,2019-10-24 12:00:00 AM,
,Brian,Masse,Caucus Chair,Windsor West,Ontario,NDP,2019-11-26 12:00:00 AM,
